5,1,1,54,23
2,2,1,7,29
4,5,15,13,18
9,1,12,11,9
2,1,8,23,16
1,4,1,23,10
2,11,10,12,21
3,2,3,2,7
4,1,4,6,5
3,1,1,30,40
1,3,1,11,27
1,3,8,6,25
1,2,3,8,27
3,8,8,12,13
7,5,3,8,31
1,1,14,11,14
5,2,4,22,4
1,3,1,8,4
1,2,2,8,26
3,2,6,9,31
1,5,1,6,17
1,1,4,8,22
2,5,2,30,9
3,4,1,9,3
3,2,7,5,3
2,3,6,1,3
1,4,8,4,15
1,3,3,12,8
2,1,7,4,34
1,6,7,1,33
3,1,12,6,7
1,7,1,17,30
1,3,8,4,20
1,10,6,8,19
1,4,7,7,17
5,1,7,13,7
4,8,7,3,6
2,1,3,22,9
1,3,2,1,50
2,2,3,4,19
4,1,7,2,24
1,1,2,8,8
2,2,6,8,12
3,5,1,12,1
1,2,2,37,10
1,2,2,2,16
2,1,4,34,18
1,13,10,3,15
4,1,2,45,2
1,4,6,16,48
1,1,9,14,18
1,4,13,2,62
1,4,4,30,36
2,2,6,19,58
4,1,6,39,70
1,1,1,1,18
5,18,6,1,15
1,10,5,7,3
1,8,12,5,82
1,1,13,18,59
1,3,4,4,19
1,4,10,13,19
1,7,18,21,17
1,1,19,21,20
3,5,6,16,132
1,1,6,6,19
4,9,9,43,6
3,1,3,4,11
1,1,14,16,4
2,4,4,11,11
5,4,3,15,3
2,1,1,14,82
2,2,6,20,8
2,8,8,5,14
1,3,5,21,9
1,2,2,12,6
1,3,7,1,41
1,2,3,16,7
1,2,2,2,24
2,1,4,9,21
1,1,5,1,17
1,1,2,18,10
1,1,2,23,17
2,3,7,13,11
4,5,13,4,17
6,1,3,6,97
3,6,23,4,9
2,4,1,1,1
3,1,1,9,20
2,5,28,7,28
4,5,7,11,27
1,1,6,7,8
2,1,15,6,47
3,12,3,5,4
1,2,1,1,6
1,4,8,6,1
4,10,10,1,28
3,7,10,11,3
1,8,11,6,14
3,9,7,2,6
3,8,8,7,90
1,4,6,11,26
1,2,5,8,15
2,2,3,9,5
3,5,7,19,5
2,3,17,2,19
2,1,6,15,29
1,8,3,4,9
1,1,6,8,19
1,5,14,7,52
3,2,2,2,3
1,3,1,10,23
1,1,6,28,22
3,2,15,42,34
2,1,10,3,14
2,1,8,17,5
1,7,3,18,15
8,6,5,5,16
2,1,6,1,43
2,3,1,7,15
3,4,13,1,21
1,5,5,7,58
1,1,8,3,11
4,5,1,27,15
2,2,4,15,11
3,2,7,38,9
1,2,5,25,7
1,7,6,15,21
3,1,6,13,1
1,1,5,15,40
1,3,10,14,59
1,12,22,2,38
4,1,10,5,6
1,3,7,20,15
1,1,2,18,8
1,2,4,15,19
1,3,1,2,9
2,2,6,8,14
5,2,9,9,55
1,6,3,13,12
6,1,23,3,4
4,1,4,24,6
2,1,9,4,23
1,1,7,2,20
1,2,9,8,6
1,8,2,20,15
1,4,3,4,31
1,1,14,6,10
2,4,6,28,3
1,6,1,23,17
2,9,1,18,37
1,2,12,9,37
3,6,7,1,7
1,1,6,4,15
1,2,6,5,1
1,1,3,23,14
1,3,6,10,12
1,5,7,30,19
1,1,10,10,26
4,7,1,15,20
1,9,8,27,44
1,5,12,2,30
1,3,19,1,15
1,2,4,13,3
3,7,9,5,39
2,1,11,4,1
1,4,8,2,27
2,1,6,3,5
1,1,2,15,8
1,2,29,14,49
1,5,1,3,31
2,6,11,2,6
1,7,3,11,17
1,1,4,10,25
1,4,9,19,42
2,4,10,3,16
1,1,3,7,8
1,4,5,6,65
1,12,4,13,54
1,2,4,7,6
1,8,2,25,46
1,3,10,2,43
3,3,23,1,15
2,3,7,2,14
1,1,14,17,23
2,2,29,9,20
7,5,10,5,8
3,1,1,23,18
2,5,3,6,20
1,4,2,2,33
2,9,9,1,1
2,3,6,1,8
12,1,6,1,9
1,9,7,4,60
1,1,2,11,21
2,3,3,2,12
1,2,2,5,37
1,1,27,9,26
3,2,2,20,23
1,4,3,3,46
1,2,5,10,16
3,1,19,10,5
5,2,10,7,3
2,11,6,1,57
2,1,4,14,14
1,1,7,42,13
4,2,16,6,20
1,1,2,31,18
1,1,13,5,89
1,5,8,24,57
6,7,6,9,1
2,1,2,6,4
1,3,11,10,4
2,8,20,15,19
1,2,1,1,6
2,2,6,8,13
4,1,10,24,29
1,6,8,8,17
1,5,4,8,6
3,11,4,7,20
4,1,1,12,3
3,2,2,2,7
1,4,30,12,29
1,1,3,26,2
2,4,1,3,40
1,7,18,38,26
4,2,1,12,8
1,2,12,2,18
1,4,9,5,11
1,4,1,6,15
1,5,6,20,16
1,6,22,11,1
2,2,1,54,13
2,6,16,1,11
5,3,9,9,14
1,7,8,16,3
1,5,19,9,14
1,3,2,2,4
1,3,1,7,9
1,9,4,15,3
2,3,3,2,16
2,3,3,8,14
2,3,2,17,1
1,5,7,2,34
3,10,3,1,10
1,4,10,1,30
2,3,28,30,31
1,5,7,22,7
1,5,4,16,6
2,3,6,7,11
1,3,20,11,5
2,2,26,13,28
3,3,11,9,16
1,2,2,2,1
5,3,2,9,5
2,6,3,1,42
2,4,14,9,2
1,2,7,6,8
1,4,7,9,14
3,1,6,13,2
3,1,10,29,11
2,3,1,10,16
1,5,4,28,22
1,3,1,1,11
5,4,23,2,34
3,10,15,5,28
2,3,9,51,37
3,7,3,48,26
3,3,3,9,23
1,2,3,21,9
1,2,11,10,12
1,5,6,10,46
1,4,7,14,36
1,2,14,7,21
1,2,5,13,19
3,3,2,9,11
1,8,1,7,24
3,4,4,14,13
2,1,7,6,27
3,3,1,8,44
1,1,17,2,21
2,5,1,9,6
1,4,4,11,26
3,17,2,11,12
1,6,5,2,15
1,2,2,25,27
1,7,3,21,32
2,1,9,16,18
1,3,3,12,7
4,4,1,4,5
1,7,3,27,3
2,3,2,1,23
1,1,9,2,45
1,2,6,21,14
2,2,11,9,19
1,2,9,18,5
1,13,1,17,1
2,5,9,3,25
1,2,9,4,20
1,11,15,3,18
1,1,6,7,13
1,4,9,10,32
2,2,13,8,30
3,5,27,7,21
5,1,11,4,89
2,1,2,8,19
2,2,2,17,2
1,1,6,3,44
3,4,6,17,4
1,1,1,10,5
1,1,12,1,26
2,1,14,12,8
1,1,3,1,9
1,4,3,10,34
1,2,3,15,17
2,1,9,4,3
1,3,8,3,63
2,1,7,10,27
1,3,8,6,7
1,4,3,2,13
2,1,9,3,24
3,3,29,19,22
1,3,1,54,65
1,4,12,7,2
1,4,7,4,2
3,1,4,23,3
