4,1,5,94,98,37,20,498,268,26
14,17,6,132,213,179,92,Inf,482,58
87,25,13,155,391,250,97,Inf,482,153
110,78,17,207,402,296,116,Inf,Inf,Inf
216,88,27,380,497,365,199,Inf,Inf,Inf
219,90,29,498,Inf,405,202,Inf,Inf,Inf
277,94,29,Inf,Inf,456,217,Inf,Inf,Inf
323,95,31,Inf,Inf,Inf,240,Inf,Inf,Inf
341,115,31,Inf,Inf,Inf,249,Inf,Inf,Inf
353,121,31,Inf,Inf,Inf,259,Inf,Inf,Inf
382,122,38,Inf,Inf,Inf,280,Inf,Inf,Inf
478,138,45,Inf,Inf,Inf,280,Inf,Inf,Inf
481,159,45,Inf,Inf,Inf,340,Inf,Inf,Inf
Inf,160,46,Inf,Inf,Inf,353,Inf,Inf,Inf
Inf,161,46,Inf,Inf,Inf,375,Inf,Inf,Inf
Inf,167,47,Inf,Inf,Inf,379,Inf,Inf,Inf
Inf,169,55,Inf,Inf,Inf,382,Inf,Inf,Inf
Inf,181,55,Inf,Inf,Inf,428,Inf,Inf,Inf
Inf,186,59,Inf,Inf,Inf,468,Inf,Inf,Inf
Inf,202,62,Inf,Inf,Inf,474,Inf,Inf,Inf
Inf,202,66,Inf,Inf,Inf,482,Inf,Inf,Inf
Inf,222,67,Inf,Inf,Inf,498,Inf,Inf,Inf
Inf,267,74,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,275,74,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,277,76,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,296,85,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,305,87,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,313,93,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,350,96,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,359,97,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,365,100,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,387,104,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,410,111,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,427,115,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,429,118,Inf,Inf,Inf,Inf,Inf,Inf,Inf
Inf,446,119,Inf,Inf,Inf,Inf,Inf,Inf,Inf
